Designator,Footprint,Quantity,Value,LCSC Part #
BT1,SMD CR2032,1,Battery_Cell,
"C1, C2",C_Disc_D4.7mm_W2.5mm_P5.00mm,2,22pF,
"C3, C4, C5, C6, C7",C_Disc_D4.7mm_W2.5mm_P5.00mm,5,100nF,
C8,CP_Radial_D5.0mm_P2.50mm,1,1uF,
C9,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,100nF,
"D1, D2",D_DO-35_SOD27_P7.62mm_Horizontal,2,BAT42,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,DIN41612_C_2x32_C64AC_Male_Horizontal_THT,1,MECB_64AC,
J2,PS2_mini_DIN,1,PS/2_Connector,
J6,PinHeader_2x12_P2.54mm_Horizontal,1,Conn_02x12_Odd_Even,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,~{NMI} SS,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,USB 5v,
L1,Logo11x13,1,myLogo,
P1,PinHeader_1x06_P2.54mm_Horizontal,1,FTDI_con,
Q1,TO-92_Inline,1,2N7000,
Q2,TO-92_Inline,1,2N7000,2N7000
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,10K,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,3K3,
"R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1K,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1M,
U1,DIP-20_W7.62mm_Socket_LongPads,1,ATF16V8,
U2,DIP-18_W7.62mm_LongPads,1,RTC72421,
U4,DIP-24_W7.62mm_LongPads,1,SCC2691,
U5,DIP-40_W15.24mm_LongPads,1,WD65C22,
U6,DIP-20_W7.62mm_LongPads,1,ATtiny261A-P,
Y1,Crystal_HC49-U_Vertical,1,3.6864Mhz,
